Horizon (hours),Model RMSE,Persistence RMSE,Model MAE,Persistence MAE,Skill Score
1,0.32815745323611484,0.29627417523570265,0.23036454838842804,0.20510907003444317,-0.1076140975670501
3,0.37370935516527937,0.3918562148332578,0.259553624708077,0.27744827586206894,0.04630999581236761
6,0.5379561649100052,0.5673189124441478,0.37244589259107025,0.4051410477835348,0.05175703980613078
12,0.78146317528485,0.8314728914801253,0.5638632272201973,0.6241305603697286,0.060145937056651055
24,1.12838617157252,1.1529083919920833,0.8570054396388836,0.8990052356020943,0.021269877632854928
